Siralim Ultimate,,Version 1.0.4,,Please send any corrections and screenshots of new entries to me on Discord. EmptyPalms#9402,
Chaos,Doom Fortress,Bastion,Congregation,"After this creature Provokes, your creatures gain 35% Defense and Speed.",Bastion Brick
Chaos,Doom Fortress,Citadel,Mind Prison,"After this creature Provokes, it Seals 3 of a random enemy's Spell Gems.",Citadel Brick
Chaos,Doom Fortress,Crypt,Rally,"After this creature Provokes, your creatures gain 25% Attack and Intelligence.",Crypt Brick
Chaos,Doom Fortress,Mouth of Hell,Glass House,"After this creature Provokes, it attacks a random enemy for each Doom Fortress fighting on your side.",
Chaos,Doom Fortress,Necropolis,Necrotic Protection,Your creatures take 50% less damage while Provoking. This trait does not stack.,Necropolis Brick
Chaos,Doom Fortress,Pandemonium King,Pandemonium Prayer,"At the end of this creature's turn, it Casts 3 random Chaos spells.",No Material Exists
Chaos,Doom Fortress,Pandemonium Queen,Pandemonium Sin,"At the end of this creature's turn, it Attacks each enemy for 100% extra damage.",No Material Exists
Chaos,Doom Fortress,Stronghold,Derision,"This creature always has Taunting, and it takes 50% less damage while it is Provoking.",Stronghold Brick
Pandemonium,Doom Fortress,Pandemonium King,Pandemonium Alacrity,"This creature has 30% less Speed. At the start of battle, its Attack and Intelligence are set equal to its Speed.",Pandemonium Skull
Pandemonium,Doom Fortress,Pandemonium King,Pandemonium Brilliance,"At the end of your creatures' turns, this creature Casts a random spell.",Pandemonium Brain
Pandemonium,Doom Fortress,Pandemonium King,Pandemonium Death,"After this creature Attacks, it Casts Extinguish on the enemy.",Pandemonium Leaf
Pandemonium,Doom Fortress,Pandemonium King,Pandemonium Exploit,This creature deals 50% more damage for each buff each enemy has.,Pandemonium Flame
Pandemonium,Doom Fortress,Pandemonium King,Pandemonium Fever,"At the start of battle, this creature Casts Affliction.",Pandemonium Juice
Pandemonium,Doom Fortress,Pandemonium King,Pandemonium Life,"After an enemy Casts a spell, they take damage equal to 1% of their Current Health for every 1 Maximum Charge the Spell Gem has.",Pandemonium Trinket
Pandemonium,Doom Fortress,Pandemonium King,Pandemonium Mania,"After this creature Defends or Provokes, it Casts Chaos Rift.",Pandemonium Ichor
Pandemonium,Doom Fortress,Pandemonium King,Pandemonium Rebirth,"After this creature dies, your other creatures are resurrected with 100% Health. If they're not dead, they recover 50% Health. This effect does not activate if more than one
of your creatures has this trait.",Pandemonium Bead
Pandemonium,Doom Fortress,Pandemonium King,Pandemonium Wrath,"After this creature manually Casts a spell, it has a 50% chance to continue to Cast that spell repeatedly. These additional spells are considered to be manually cast as well.",Pandemonium Stone
Rodian Master,Doom Fortress,Mastery Trait,Master of Doom Fortresses,Your creatures deal 15% more damage for each Doom Fortress fighting on your side. This trait does not stack.,Sigil of the Doom Fortress
Chaos,Doomguard,Abaddon Guard,Hell's Protection,Your creatures take 1% less damage for every 1% of Health they're missing. Maximum of 50% damage reduction. This trait does not stack.,Abaddon Helmet
Chaos,Doomguard,Chaos Guard,Vigor,Your creatures take 25% less damage. This trait does not stack.,Chaos Helmet
Chaos,Doomguard,Death Guard,Awareness,Your creatures no longer take additional damage from Critical damage.,Death Helmet
Chaos,Doomguard,Infernal Guard,Bulwark,This creature and your creatures adjacent to it take 50% less damage. This trait does not stack.,Infernal Helmet
Chaos,Doomguard,Perdition Guard,Guardian,This creature intercepts attacks on its adjacent allies and takes 50% less damage.,Perdition Helmet
Chaos,Doomguard,Pit Guard,Rampart,"At the start of battle, your creatures adjacent to this creature gain 65% of its Defense, Health, and Speed.",Pit Helmet
Chaos,Doomguard,Sentry Guard,Fortification,Your creatures take 5% less damage for each time they've taken damage in the current battle. Maximum of 90% damage reduction. This trait does not stack.,Sentry Helmet
Rodian Master,Doomguard,Mastery Trait,Master of Doomguards,"Your Doomguards have a 20% chance to avoid damage, or 50% if they are Defending or Provoking. This trait does not stack.",Sigil of the Doomguard
Sorcery,Dragon,Dragon Guardian,Corrosive Dragon Breath,"After an enemy Defends or Provokes, this creature reduces all enemies' Defense by 40%. This trait does not stack.",Guardian Dragon Scale
Sorcery,Dragon,Dragon Queen,Piercing Dragon Claws,"After an enemy gains a buff or minion, this creature deals damage to all enemies equal to 30% of this creature's Speed. This trait does not stack.",Queen Dragon Scale
Sorcery,Dragon,Dragon Revenant,Dynamic Dragon Scales,"After an enemy Casts a spell, this creature reduces all enemies Intelligence by 35%. This trait does not stack.",Revenant Dragon Scale
Sorcery,Dragon,Dragon Scout,Deflective Dragon Armor,"After an enemy Attacks, this creature reduces all enemies' Attack by 20%. This trait does not stack.",Scout Dragon Scale
Sorcery,Dragon,Dragon Sentinel,Sweeping Dragon Tail,"After an enemy deals Critical damage, this creature reduces all enemies' Speed by 50%. This trait does not stack.",Sentinel Dragon Scale
Sorcery,Dragon,Dragon Soldier,Menacing Dragon Fangs,"After an enemy Dodges an attack, this creature deals damage to all enemies equal to 35% of this creature's Intelligence. This trait does not stack.",Soldier Dragon Scale
Sorcery,Dragon,Dragon Spirit,Memento Vivere,"After an enemy gains a buff, one of your creatures is resurrected with 100% Health and gains Shelled. This trait does not stack.",Spirit Dragon Scale
Sorcery,Dragon,Fortune Dragon,Dragon Dance,"After this creature Attacks, it deals damage equal to 30% of the target's Current Health.",Fortune Lantern
Sorcery,Dragon,Subaqueous Dragon,Blend,"At the start of battle, your Fused creatures' classes change to match that of their primary parent.",Subaqeuous Dragon Scale
Nether Boss,Dragon,Tellur,Tellur's Fangs,This creature deals 15% more damage for each time it has taken damage in the current battle.,Tellur's Blood
Nether Boss,Dragon,Tellur,Tellur's Glands,"After this creature takes damage 10 times, it deals damage to enemies equal to 100% of the damage it has taken in the current battle.",Tellur's Scales
Nether Boss,Dragon,Tellur,Tellur's Scales,This creature takes 20% less damage (up to 90%) for each time it has taken damage in the current battle.,Tellur's Marrow
Rodian Master,Dragon,Mastery Trait,Master of Dragons,Your Dragons' innate traits activate 1 additional time. This trait does not stack.,Sigil of the Dragon
Nature,Dryad,Dryad Keeper,Surge,"After your creatures gain a buff, they gain 15% Attack and Intelligence. This trait does not stack.",Keeper Dew
Nature,Dryad,Dryad Naturalist,Extension,"After this creature Defends, the duration of your creatures' buffs is extended by 2 turns, and your creatures' minions gain 1 stack.",Naturalist Dew
Nature,Dryad,Dryad Proliferator,Moonlight,"Your creatures have 7% more Attack, Intelligence, and Defense for each buff they have. This trait does not stack.",Proliferator Dew
Nature,Dryad,Dryad Raincaller,Soothing Rain,"After this creature Defends, your creatures recover 20% Health for each buff they have.",Raincaller Dew
Nature,Dryad,Dryad Seductress,Green Eyes,"After any creature gains a buff, this creature gains that buff as well.",Seductress Dew
Nature,Dryad,Dryad Sunbather,Oulala,Enemies that are Confused deal 150% more damage to each other with attacks. This trait does not stack.,Sunbather Drink
Nature,Dryad,Dryad Vindicator,Absolution,"After an enemy is afflicted with a debuff, they lose 15% Attack and Intelligence. This trait does not stack.",Vindicator's Dew
Nature,Dryad,Dryad Warden,Duplication,"After this creature Provokes, your other creatures gain a copy of this creatures' buffs.",Warden Dew
Nether Boss,Dryad,Etta,Etta's Coercion,"At the end of each enemy's turn, this creature has a 20% chance to force them to Attack one of their allies. This trait does not stack.",Etta's Spices
Nether Boss,Dryad,Etta,Etta's Jealousy,"At the end of each enemy's turn, this creature has a 20% chance to force them to Cast a random, damaging spell in this creature's favor. This trait does not stack.",Etta's Doll
Nether Boss,Dryad,Etta,Etta's Seduction,"At the start of this creature's turn, a random enemy gives 15% of their stats to this creature.",Etta's Blindfold
Rodian Master,Dryad,Mastery Trait,Master of Dryads,Your Dryads' buffs and minions last forever.,Sigil of the Dryad
Nature,Dumpling,Dumpling,Secret Ingredient,"At the start of battle, your Dumplings gain Current and Maximum Health equal to 15% of all your Dumplings' Maximum Health. This trait does not stack.",Raw Dough Ball
Nature,Dumpling,King Dumpling,Rich Get Richer,"After one of your Dumplings are killed, this creature gains 50% of their highest stat.",Royal Dough Ball
Nature,Dumpling,Melon,Glucose,Your Dumplings have a 10% chance to start battles at the top of the Timeline for each Dumpling fighting on your side. This trait does not stack.,Melon Drink
Nature,Dumpling,Nugget,Greed Is Good,Your Dumplings deal 7% more damage for each turn all your Dumplings have taken a turn in the current battle. This trait does not stack.,Golden Dough Ball
Nature,Dumpling,Omelette,High Protein,Your Dumplings have a 10% chance to resist debuffs for each Dumpling fighting on your side. This trait does not stack.,Scrambled Egg
Nature,Dumpling,Pudding,Proof Is In the Pudding,Your Dumplings can equip 1 more Spell Gem for each Dumpling fighting on your side. This trait does not stack.,Pudding Gift
Nature,Dumpling,Squash,Extra Treat,"Your Dumplings' spells do not consume Charges, but they can only Cast spells a maximum of 3 times per turn.",Smelly Pumpkin
Nature,Dumpling,Vegetable Dumpling,Clean Eating,"The first time your Dumplings die in battle, they are resurrected with 1 Health. This trait does not stack.",Vegetable Dough Ball
Rodian Master,Dumpling,Mastery Trait,Master of Dumplings,"At the start of battle, your Dumplings gain an Ultimate Spell depending on the skin they have equipped. If they don't have a skin equipped that was obtained
from defeating a Dumpling in the wild, the spell will be chosen at random.",Sigil of the Dumpling
Sorcery,Efreet,Ashbone Efreet,Infinite Inferno,Enemies' Burning debuff lasts forever. This effect also applies to your own creatures while you have a creature with the In Flames trait.,Ashbone Ashes
Sorcery,Efreet,Dreadful Efreet,Stoke,"After this creature Defends or Provokes, it increases the potency of each enemy's Burning debuff by 65%.",Dreadful Ashes
Sorcery,Efreet,Flametongue Efreet,In Flames,Your creatures recover Health from Burning instead of taking damage. Your creatures start each battle with Burning.,Flametongue Ashes
Sorcery,Efreet,Frostfire Efreet,Living Flame,"After an enemy takes damage from Burning, this creature deals 30% of that damage to all other enemies. This trait does not stack.",Frostfire Ashes
Sorcery,Efreet,Obsidian Efreet,Snuff,"When an enemy's Burning debuff expires or is removed, deal damage to it equal to 5 turns of this debuff. This trait does not stack.",Obsidian Ashes
Sorcery,Efreet,Volcanic Efreet,Smolder,"After this creature Attacks a creature with Burning, the target takes damage equal to 4 turns of this debuff.",Volcanic Ashes
Sorcery,Efreet,Wildfire Efreet,Ashes to Ashes,"After this creature Attacks, it afflicts the target with Burning. If the target already has Burning, it afflicts all enemies with Burning.",Wildfire Ashes
Rodian Master,Efreet,Mastery Trait,Master of Efreets,"When your creatures afflict enemies with Burning, the potency of this debuff is increased by 50% for each Efreet fighting on your side. This trait does not stack.",Sigil of the Efreet
Nature,Eft,Bloody Eft,Pride of the Pack,"Your Efts always have one of the following buffs for each Eft fighting on your side: Savage, Splashing, Protected, Berserk, Agile, Warded. Buffs are prioritized in that order.",Bloody Skull
Nature,Eft,Eft Climber,Render Flesh,"After this creature Attacks, it decreases the target's Defense by 10% for each Eft fighting on your side. This trait does not stack.",Climber Skull
Nature,Eft,Eft Elder,Dismemberment,"After this creature Attacks, it decreases the target's Intelligence by 10% for each Eft fighting on your side. This trait does not stack.",Elder Skull
Nature,Eft,Eft Howler,Throat Ripper,"After one of your Efts attack, all of your Efts recover Health equal to 5% of the damage dealt for each Eft fighting on your side. This trait does not stack.",Howler Skull
